pm2,pm10,client_id,time
2.9,5.7,raspberry-pi-jan,2023-04-10 00:00:07.361157
2.9,6.7,raspberry-pi-jan,2023-04-10 00:01:07.836055
2.6,5.4,raspberry-pi-jan,2023-04-10 00:02:08.312177
3.0,5.0,raspberry-pi-jan,2023-04-10 00:03:08.786102
3.0,6.5,raspberry-pi-jan,2023-04-10 00:04:09.261061
2.8,6.8,raspberry-pi-jan,2023-04-10 00:05:09.733724
2.9,6.1,raspberry-pi-jan,2023-04-10 00:06:10.206135
2.8,6.2,raspberry-pi-jan,2023-04-10 00:07:10.679868
2.7,7.5,raspberry-pi-jan,2023-04-10 00:08:11.154981
2.7,6.0,raspberry-pi-jan,2023-04-10 00:09:11.631198
2.6,5.3,raspberry-pi-jan,2023-04-10 00:10:12.106336
2.8,5.0,raspberry-pi-jan,2023-04-10 00:11:12.580102
2.6,5.5,raspberry-pi-jan,2023-04-10 00:12:13.047719
3.1,6.7,raspberry-pi-jan,2023-04-10 00:13:13.519879
2.8,5.7,raspberry-pi-jan,2023-04-10 00:14:13.995887
2.7,4.5,raspberry-pi-jan,2023-04-10 00:15:14.470211
2.6,5.9,raspberry-pi-jan,2023-04-10 00:16:14.946272
2.7,5.7,raspberry-pi-jan,2023-04-10 00:17:15.419983
2.9,5.4,raspberry-pi-jan,2023-04-10 00:18:15.888616
2.6,5.7,raspberry-pi-jan,2023-04-10 00:19:16.360382
2.9,5.8,raspberry-pi-jan,2023-04-10 00:20:16.827499
3.0,6.5,raspberry-pi-jan,2023-04-10 00:21:17.298657
2.8,5.0,raspberry-pi-jan,2023-04-10 00:22:17.772307
2.6,5.3,raspberry-pi-jan,2023-04-10 00:23:18.244965
2.8,5.8,raspberry-pi-jan,2023-04-10 00:24:18.713686
2.7,6.1,raspberry-pi-jan,2023-04-10 00:25:19.184829
2.8,5.8,raspberry-pi-jan,2023-04-10 00:26:19.658497
2.8,5.4,raspberry-pi-jan,2023-04-10 00:27:20.131278
2.6,4.7,raspberry-pi-jan,2023-04-10 00:28:20.600981
2.6,4.6,raspberry-pi-jan,2023-04-10 00:29:21.071032
2.7,4.9,raspberry-pi-jan,2023-04-10 00:30:21.546008
2.5,5.0,raspberry-pi-jan,2023-04-10 00:31:22.018657
2.8,5.3,raspberry-pi-jan,2023-04-10 00:32:22.492405
2.5,5.8,raspberry-pi-jan,2023-04-10 00:33:22.967261
2.6,5.0,raspberry-pi-jan,2023-04-10 00:34:23.441048
2.4,5.1,raspberry-pi-jan,2023-04-10 00:35:23.909585
2.7,5.5,raspberry-pi-jan,2023-04-10 00:36:24.374801
2.7,5.5,raspberry-pi-jan,2023-04-10 00:37:24.839474
2.4,5.1,raspberry-pi-jan,2023-04-10 00:38:25.300462
2.6,5.1,raspberry-pi-jan,2023-04-10 00:39:25.760369
2.8,6.5,raspberry-pi-jan,2023-04-10 00:40:26.223021
2.7,5.0,raspberry-pi-jan,2023-04-10 00:41:26.691714
2.7,5.3,raspberry-pi-jan,2023-04-10 00:42:27.160431
2.8,5.4,raspberry-pi-jan,2023-04-10 00:43:27.626562
2.6,4.7,raspberry-pi-jan,2023-04-10 00:44:28.095488
2.6,6.0,raspberry-pi-jan,2023-04-10 00:45:28.562486
2.8,5.9,raspberry-pi-jan,2023-04-10 00:46:29.028660
2.5,5.6,raspberry-pi-jan,2023-04-10 00:47:29.496614
2.6,5.1,raspberry-pi-jan,2023-04-10 00:48:29.964158
2.7,6.4,raspberry-pi-jan,2023-04-10 00:49:30.430375
2.4,5.2,raspberry-pi-jan,2023-04-10 00:50:30.895460
2.4,4.4,raspberry-pi-jan,2023-04-10 00:51:31.360484
2.5,4.5,raspberry-pi-jan,2023-04-10 00:52:31.828335
2.6,4.9,raspberry-pi-jan,2023-04-10 00:53:32.294043
2.6,5.0,raspberry-pi-jan,2023-04-10 00:54:32.760380
2.6,4.9,raspberry-pi-jan,2023-04-10 00:55:33.224931
2.6,5.2,raspberry-pi-jan,2023-04-10 00:56:33.687388
2.5,5.5,raspberry-pi-jan,2023-04-10 00:57:34.148624
2.4,4.8,raspberry-pi-jan,2023-04-10 00:58:34.612406
2.4,5.1,raspberry-pi-jan,2023-04-10 00:59:35.079951
2.3,4.9,raspberry-pi-jan,2023-04-10 01:00:35.548527
2.5,5.2,raspberry-pi-jan,2023-04-10 01:01:36.015999
2.5,4.9,raspberry-pi-jan,2023-04-10 01:02:36.483479
2.6,5.0,raspberry-pi-jan,2023-04-10 01:03:36.952423
2.6,6.6,raspberry-pi-jan,2023-04-10 01:04:37.418727
2.4,4.8,raspberry-pi-jan,2023-04-10 01:05:37.881086
2.4,5.4,raspberry-pi-jan,2023-04-10 01:06:38.341288
2.4,4.8,raspberry-pi-jan,2023-04-10 01:07:38.805161
2.3,4.4,raspberry-pi-jan,2023-04-10 01:08:39.274303
2.6,5.0,raspberry-pi-jan,2023-04-10 01:09:39.734506
2.4,4.1,raspberry-pi-jan,2023-04-10 01:10:40.197168
2.3,4.5,raspberry-pi-jan,2023-04-10 01:11:40.659946
2.4,5.0,raspberry-pi-jan,2023-04-10 01:12:41.122363
2.5,5.1,raspberry-pi-jan,2023-04-10 01:13:41.588566
2.3,4.2,raspberry-pi-jan,2023-04-10 01:14:42.050980
2.4,4.5,raspberry-pi-jan,2023-04-10 01:15:42.516303
2.2,5.0,raspberry-pi-jan,2023-04-10 01:16:42.979931
2.5,4.7,raspberry-pi-jan,2023-04-10 01:17:43.444697
2.4,4.4,raspberry-pi-jan,2023-04-10 01:18:43.911871
2.4,5.0,raspberry-pi-jan,2023-04-10 01:19:44.377447
2.5,5.6,raspberry-pi-jan,2023-04-10 01:20:44.841019
2.5,6.0,raspberry-pi-jan,2023-04-10 01:21:45.304720
2.7,5.8,raspberry-pi-jan,2023-04-10 01:22:45.767835
2.0,3.9,raspberry-pi-jan,2023-04-10 01:23:46.234333
2.4,4.9,raspberry-pi-jan,2023-04-10 01:24:46.699305
2.3,4.3,raspberry-pi-jan,2023-04-10 01:25:47.164211
2.2,4.8,raspberry-pi-jan,2023-04-10 01:26:47.629403
2.5,5.2,raspberry-pi-jan,2023-04-10 01:27:48.097001
2.4,5.0,raspberry-pi-jan,2023-04-10 01:28:48.560554
2.5,4.7,raspberry-pi-jan,2023-04-10 01:29:49.025568
2.5,4.5,raspberry-pi-jan,2023-04-10 01:30:49.489121
2.2,4.4,raspberry-pi-jan,2023-04-10 01:31:49.954071
2.4,4.8,raspberry-pi-jan,2023-04-10 01:32:50.417783
2.4,4.4,raspberry-pi-jan,2023-04-10 01:33:50.885369
2.5,5.2,raspberry-pi-jan,2023-04-10 01:34:51.354179
2.1,4.2,raspberry-pi-jan,2023-04-10 01:35:51.824124
2.3,4.8,raspberry-pi-jan,2023-04-10 01:36:52.292839
2.3,4.7,raspberry-pi-jan,2023-04-10 01:37:52.758043
2.4,4.6,raspberry-pi-jan,2023-04-10 01:38:53.219212
